pathway_id	pathway_name	system_type	category	reaction_id	step_order	required	alternative_group	alternative_set	notes	topology_status	source_id
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_A	1	yes				CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_B	2	yes				CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_C	3	yes			cyanuric acid formed	CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_D	4	yes				CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_EG	5	yes			AtzE functions with AtzG in updated pathway model	CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_INTERMEDIATE	6	no			mechanism toward allophanate remains uncertain; not used in completeness score	CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_ATRAZINE_HYDROLYTIC	Atrazine hydrolytic mineralization route	PATHWAY	herbicide degradation	BRXN_ATZ_F	7	yes			terminal allophanate hydrolysis	CURATED_ORDERED_WITH_UNCERTAIN_INTERMEDIATE	SRC_ATZ_2023
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_BC	1	yes			two-component monooxygenase	CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_D	2	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_E	3	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_F	4	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_G	5	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_H	6	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_I	7	yes				CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_HPA_HOMOPROTOCATECHUATE	4-Hydroxyphenylacetate via homoprotocatechuate	PATHWAY	aromatic degradation	BRXN_HPA_SAD	8	yes			succinate endpoint	CURATED_ORDERED	SRC_HPA_LB400_2011
BPWY_GENTISATE	Gentisate ring-cleavage pathway	PATHWAY	aromatic degradation	BRXN_GENT_GDO	1	yes			common entry	CURATED_BRANCHING_ALTERNATIVES	SRC_GENT_2013
BPWY_GENTISATE	Gentisate ring-cleavage pathway	PATHWAY	aromatic degradation	BRXN_GENT_MPI	2	yes	LOWER_ROUTE_ISOMERIZATION	GENTISATE_LOWER_ROUTE	alternative route A step 1	CURATED_BRANCHING_ALTERNATIVES	SRC_GENT_2015
BPWY_GENTISATE	Gentisate ring-cleavage pathway	PATHWAY	aromatic degradation	BRXN_GENT_FPH	3	yes	LOWER_ROUTE_ISOMERIZATION	GENTISATE_LOWER_ROUTE	alternative route A step 2	CURATED_BRANCHING_ALTERNATIVES	SRC_GENT_2015
BPWY_GENTISATE	Gentisate ring-cleavage pathway	PATHWAY	aromatic degradation	BRXN_GENT_MPH	2	yes	LOWER_ROUTE_DIRECT	GENTISATE_LOWER_ROUTE	alternative route B direct hydrolysis	CURATED_BRANCHING_ALTERNATIVES	SRC_GENT_2013
BPWY_1_2_DCA	1,2-Dichloroethane aerobic degradation	PATHWAY	halogenated compound degradation	BRXN_DCA_DHLA	1	yes				CURATED_ORDERED_GENERIC_MIDDLE_STEPS_CAUTION	SRC_DCA_2008
BPWY_1_2_DCA	1,2-Dichloroethane aerobic degradation	PATHWAY	halogenated compound degradation	BRXN_DCA_ADH	2	yes			generic enzyme family; pathway-specific assignment needs context	CURATED_ORDERED_GENERIC_MIDDLE_STEPS_CAUTION	SRC_DCA_2008
BPWY_1_2_DCA	1,2-Dichloroethane aerobic degradation	PATHWAY	halogenated compound degradation	BRXN_DCA_ALDH	3	yes			generic enzyme family; pathway-specific assignment needs context	CURATED_ORDERED_GENERIC_MIDDLE_STEPS_CAUTION	SRC_DCA_2008
BPWY_1_2_DCA	1,2-Dichloroethane aerobic degradation	PATHWAY	halogenated compound degradation	BRXN_DCA_DHLB	4	yes				CURATED_ORDERED_GENERIC_MIDDLE_STEPS_CAUTION	SRC_DCA_2008
BPWY_ORGANOMERCURY	Broad-spectrum organomercury detoxification	PATHWAY	metal transformation	BRXN_MER_B	1	yes			organomercury C-Hg cleavage	CURATED_ORDERED	SRC_MERB_2015
BPWY_ORGANOMERCURY	Broad-spectrum organomercury detoxification	PATHWAY	metal transformation	BRXN_MER_A	2	yes			Hg(II) reduction to Hg(0)	CURATED_ORDERED	SRC_MERB_2015
BMOD_ALKB_TERMINAL_OX	AlkB-mediated alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_B	1	yes			initial alkane hydroxylation	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_ALKB_2024
BMOD_ALKB_TERMINAL_OX	AlkB-mediated alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_ET	2	no			electron-transfer architecture varies; supporting evidence only	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_ALKB_2024
BMOD_ALKB_TERMINAL_OX	AlkB-mediated alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_ADH	3	no			downstream generic alcohol oxidation; not scored for specific rescue	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_ALKB_2024
BMOD_ALKB_TERMINAL_OX	AlkB-mediated alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_ALDH	4	no			downstream generic aldehyde oxidation; not scored for specific rescue	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_ALKB_2024
BMOD_LADA_TERMINAL_OX	LadA-mediated long-chain alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_LADA	1	yes			initial long-chain alkane hydroxylation	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_LADA_2013
BMOD_LADA_TERMINAL_OX	LadA-mediated long-chain alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_ADH	2	no			downstream generic alcohol oxidation	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_LADA_2013
BMOD_LADA_TERMINAL_OX	LadA-mediated long-chain alkane terminal oxidation module	FUNCTIONAL_MODULE	hydrocarbon degradation	BRXN_ALK_ALDH	3	no			downstream generic aldehyde oxidation	CURATED_FUNCTIONAL_MODULE_NOT_FULL_PATHWAY	SRC_LADA_2013
BMOD_OP_HYDROLYSIS	Organophosphate hydrolysis potential	FUNCTIONAL_MODULE	pesticide transformation	BRXN_OPD	1	yes			hydrolysis/detoxification only; downstream mineralization is substrate- and organism-dependent	CURATED_SINGLE_FUNCTION_MODULE	SRC_OPD_2006
BMOD_AZO_REDUCTION	Azo-bond reduction potential	FUNCTIONAL_MODULE	dye transformation	BRXN_AZOR	1	yes			azo cleavage yields aromatic amines; this alone is not complete dye mineralization	CURATED_SINGLE_FUNCTION_MODULE	SRC_AZO_2018
BMOD_ARS_METHYLATION	Arsenic methylation potential	FUNCTIONAL_MODULE	metalloid transformation	BRXN_ARSM	1	yes			methylation can change toxicity/volatility; report as transformation, not universal detoxification	CURATED_SINGLE_FUNCTION_MODULE	SRC_ARSM_2015
BMOD_CUSA_COMPONENT	CusA copper/silver efflux component	FUNCTIONAL_MODULE	metal resistance	BRXN_CUSA	1	yes			CusA alone is a component signal, not proof of a complete CusCFBA system	CURATED_SINGLE_FUNCTION_MODULE	SRC_MER_OPERON_2012
BMOD_XYLE_META_CLEAVAGE	Catechol meta-cleavage entry potential	FUNCTIONAL_MODULE	aromatic degradation	BRXN_XYL_E	1	yes			single reaction/module, not a complete toluene/xylene pathway	CURATED_SINGLE_FUNCTION_MODULE	SRC_NAHF_2012
