reaction_id	enzyme_name	gene_family	ec_number	substrates	products	reaction_type	evidence_class	source_id	reference_status	active	canonical_reaction_id	model_status
BRXN_ATZ_C	N-isopropylammelide isopropylaminohydrolase	atzC		N-isopropylammelide	cyanuric acid	metabolic	curated_topology	SRC_ATZ_2023	placeholder_no_active_ref	yes	BRXN_ATZ_C	ACTIVE
BRXN_ATZ_D	cyanuric acid hydrolase	atzD/trzD		cyanuric acid	1-carboxybiuret	metabolic	curated_topology	SRC_ATZ_2023	placeholder_no_active_ref	yes	BRXN_ATZ_D	ACTIVE
BRXN_ATZ_EG	1-carboxybiuret hydrolase complex	atzE+atzG		1-carboxybiuret	1,3-dicarboxyurea	metabolic	curated_topology	SRC_ATZ_2023	AtzE_active_AtzG_placeholder	yes	BRXN_ATZ_EG	ACTIVE
BRXN_ATZ_INTERMEDIATE	conversion toward allophanate	atzH?		1,3-dicarboxyurea	allophanate	metabolic	curated_topology	SRC_ATZ_2023	MECHANISM_UNCERTAIN_not_scored	yes	BRXN_ATZ_INTERMEDIATE	ACTIVE
BRXN_ATZ_F	allophanate hydrolase	atzF		allophanate	ammonia + carbon dioxide	metabolic	curated_topology	SRC_ATZ_2023	active_target_BRT_ATZ_F	yes	BRXN_ATZ_F	ACTIVE
BRXN_HPA_BC	4-hydroxyphenylacetate 3-monooxygenase system	hpaB+hpaC		4-hydroxyphenylacetate	homoprotocatechuate	metabolic	curated_topology	SRC_HPA_LB400_2011	B_and_C_active	yes	BRXN_HPA_BC	ACTIVE
BRXN_HPA_D	homoprotocatechuate 2,3-dioxygenase	hpaD		homoprotocatechuate	CHMS	metabolic	curated_topology	SRC_HPA_LB400_2011	existing_old_layer	yes	BRXN_HPA_D	ACTIVE
BRXN_HPA_E	CHMS dehydrogenase	hpaE		CHMS	CHM	metabolic	curated_topology	SRC_HPA_LB400_2011	existing_old_layer	yes	BRXN_HPA_E	ACTIVE
BRXN_HPA_F	CHM isomerase	hpaF		CHM	OPET	metabolic	curated_topology	SRC_HPA_LB400_2011	placeholder_no_active_ref	yes	BRXN_HPA_F	ACTIVE
BRXN_HPA_G	OPET decarboxylase	hpaG		OPET	downstream meta-cleavage intermediate	metabolic	curated_topology	SRC_HPA_LB400_2011	placeholder_no_active_ref	yes	BRXN_HPA_G	ACTIVE
BRXN_HPA_H	downstream hydratase	hpaH		downstream meta-cleavage intermediate	downstream aldol substrate	metabolic	curated_topology	SRC_HPA_LB400_2011	placeholder_no_active_ref	yes	BRXN_HPA_H	ACTIVE
BRXN_HPA_I	aldolase	hpaI		downstream aldol substrate	pyruvate + succinic semialdehyde	metabolic	curated_topology	SRC_HPA_LB400_2011	placeholder_no_active_ref	yes	BRXN_HPA_I	ACTIVE
BRXN_HPA_SAD	succinic semialdehyde dehydrogenase	sad		succinic semialdehyde	succinate	metabolic	curated_topology	SRC_HPA_LB400_2011	placeholder_no_active_ref	yes	BRXN_HPA_SAD	ACTIVE
BRXN_GENT_GDO	gentisate 1,2-dioxygenase	gdo/hbzE/mhbD		gentisate	maleylpyruvate	metabolic	curated_topology	SRC_GENT_2013	active_target_BRT_GDO_A	yes	BRXN_GENT_GDO	ACTIVE
BRXN_GENT_MPI	maleylpyruvate isomerase	maleylpyruvate isomerase		maleylpyruvate	fumarylpyruvate	metabolic	curated_topology	SRC_GENT_2015	placeholder_alternative_route	yes	BRXN_GENT_MPI	ACTIVE
BRXN_GENT_FPH	fumarylpyruvate hydrolase	fumarylpyruvate hydrolase		fumarylpyruvate	fumarate + pyruvate	metabolic	curated_topology	SRC_GENT_2015	placeholder_alternative_route	yes	BRXN_GENT_FPH	ACTIVE
BRXN_GENT_MPH	maleylpyruvate hydrolase	hbzF		maleylpyruvate	maleate + pyruvate	metabolic	curated_topology	SRC_GENT_2013	placeholder_alternative_route	yes	BRXN_GENT_MPH	ACTIVE
BRXN_DCA_DHLA	haloalkane dehalogenase	dhlA		1,2-dichloroethane	2-chloroethanol	metabolic	curated_topology	SRC_DCA_2008	active_target_BRT_DHL_A	yes	BRXN_DCA_DHLA	ACTIVE
BRXN_DCA_ADH	chloroethanol oxidation	alcohol dehydrogenase		2-chloroethanol	chloroacetaldehyde	metabolic	curated_topology	SRC_DCA_2008	placeholder_generic_family_not_for_direct_rescue	yes	BRXN_DCA_ADH	ACTIVE
BRXN_DCA_ALDH	chloroacetaldehyde oxidation	aldehyde dehydrogenase		chloroacetaldehyde	chloroacetate	metabolic	curated_topology	SRC_DCA_2008	placeholder_generic_family_not_for_direct_rescue	yes	BRXN_DCA_ALDH	ACTIVE
BRXN_DCA_DHLB	haloacid dehalogenase	dhlB		chloroacetate	glycolate	metabolic	curated_topology	SRC_DCA_2008	placeholder_no_active_ref	yes	BRXN_DCA_DHLB	ACTIVE
BRXN_MER_B	organomercurial lyase	merB		organomercury	Hg(II) + hydrocarbon product	metabolic	curated_topology	SRC_MERB_2015	active_target_BRT_MER_B	yes	BRXN_MER_B	ACTIVE
BRXN_MER_A	mercuric reductase	merA		Hg(II)	Hg(0)	metabolic	curated_topology	SRC_MERB_2015	existing_old_layer	yes	BRXN_MER_A	ACTIVE
BRXN_ALK_B	alkane 1-monooxygenase	alkB		n-alkane	primary alcohol	metabolic	curated_topology	SRC_ALKB_2024	active_target_BRT_ALK_B	yes	BRXN_ALK_B	ACTIVE
BRXN_ALK_ET	electron transfer support for AlkB	alkG+alkT or equivalent		NADH	reduced AlkB electron-transfer chain	redox_support	curated_topology	SRC_ALKB_2024	architecture_variable_not_scored	yes	BRXN_ALK_ET	ACTIVE
BRXN_ALK_ADH	primary alcohol oxidation	alcohol dehydrogenase		primary alcohol	aldehyde	metabolic	curated_topology	SRC_ALKB_2024	placeholder_generic_family_not_for_direct_rescue	yes	BRXN_ALK_ADH	ACTIVE
BRXN_ALK_ALDH	aldehyde oxidation	aldehyde dehydrogenase		aldehyde	fatty acid	metabolic	curated_topology	SRC_ALKB_2024	placeholder_generic_family_not_for_direct_rescue	yes	BRXN_ALK_ALDH	ACTIVE
BRXN_LADA	long-chain alkane monooxygenase	ladA		long-chain n-alkane	primary alcohol	metabolic	curated_topology	SRC_LADA_2013	active_target_BRT_LAD_A	yes	BRXN_LADA	ACTIVE
BRXN_OPD	organophosphorus hydrolase	opd/opdA-like		organophosphate substrate	hydrolysis products	metabolic	curated_topology	SRC_OPD_2006	active_target_BRT_OPD	yes	BRXN_OPD	ACTIVE
BRXN_AZOR	azoreductase	azoR		azo dye	aromatic amines	metabolic	curated_topology	SRC_AZO_2018	active_target_BRT_AZO_R	yes	BRXN_AZOR	ACTIVE
BRXN_ARSM	As(III) SAM methyltransferase	arsM		As(III)	methylated arsenic species	metabolic	curated_topology	SRC_ARSM_2015	active_target_BRT_ARS_M	yes	BRXN_ARSM	ACTIVE
BRXN_CUSA	CusA RND-family efflux pump component	cusA		Cu/Ag stress	efflux contribution	transport	curated_topology	SRC_MER_OPERON_2012	active_target_BRT_CUS_A_component_only	yes	BRXN_CUSA	ACTIVE
BRXN_TMR	Triphenylmethane reductase	tmr				metabolic						
